dfo_centroid_y,dfo_main_cause,dfo_centroid_x,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,began,dfo_validation_type,dfo_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,began_y,began_m,began_d,ended_y,ended_m,ended_d,path,range
-6.260593,Heavy rain,107.286313,5,1,0.7,10000,2008/2/14,News,Indonesia,0,ID,2008/3/14,0,675,2008,2,14,2008,3,14,/Indonesia/DFO_3271_From_20080214_to_20080314/DFO_3271_From_20080214_to_20080314.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-5.887359,Heavy Rain,144.477319,5,1,0.7,500,2012/12/1,News,Papua New Guinea,0,ID PP AS,2013/2/12,0,675,2012,12,1,2013,2,12,/Indonesia/DFO_4028_From_20121201_to_20130212/DFO_4028_From_20121201_to_20130212.tif,"(130.38597191352795 -0.3391140197551194,130.38597191352795 -10.968429619099357,151.09213921248292 -10.968429619099357,151.09213921248292 -0.3391140197551194,130.38597191352795 -0.3391140197551194)"
-8.497488,Torrential Rain,118.568754,5,1.5,0.7,3000,2018/3/5,FloodList,Indonesia,0,ID,2018/3/6,0,675,2018,3,5,2018,3,6,/Indonesia/DFO_4584_From_20180305_to_20180306/DFO_4584_From_20180305_to_20180306.tif,"(115.81529800510931 -8.060133886762406,115.81529800510931 -10.629315599344238,125.14654801890084 -10.629315599344238,125.14654801890084 -8.060133886762406,115.81529800510931 -8.060133886762406)"
-0.860079,Heavy rain,114.779037,5,1,0.7,3000,2007/5/1,News,Indonesia,0,ID MY,2007/5/25,0,675,2007,5,1,2007,5,25,/Indonesia/DFO_3065_From_20070501_to_20070525/DFO_3065_From_20070501_to_20070525.tif,"(108.67369149635911 1.8460379088656167,108.67369149635911 -4.181657647576373,117.36713765842578 -4.181657647576373,117.36713765842578 1.8460379088656167,108.67369149635911 1.8460379088656167)"
-6.409578,Heavy rain,108.143784,5,1,0.7,4000,2004/2/17,News,Indonesia,0,ID,2004/2/25,0,675,2004,2,17,2004,2,25,/Indonesia/DFO_2437_From_20040217_to_20040225/DFO_2437_From_20040217_to_20040225.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
0.617594,Heavy rain,123.095573,5,1,0.7,212,2007/6/16,News,Indonesia,1,ID,2007/6/20,0,675,2007,6,16,2007,6,20,/Indonesia/DFO_3103_From_20070616_to_20070620/DFO_3103_From_20070616_to_20070620.tif,"(118.75278898418014 4.552212702275676,118.75278898418014 -6.501556868815038,126.91398334040599 -6.501556868815038,126.91398334040599 4.552212702275676,118.75278898418014 4.552212702275676)"
-4.402145,Heavy rain,143.695571,5,1,0.7,0,2003/4/14,News,Papua New Guinea,0,ID PP,2003/5/4,0,675,2003,4,14,2003,5,4,/Indonesia/DFO_2220_From_20030414_to_20030504/DFO_2220_From_20030414_to_20030504.tif,"(137.86444665382297 -1.4530249720633261,137.86444665382297 -10.968429619099359,151.09213921248292 -10.968429619099359,151.09213921248292 -1.4530249720633261,137.86444665382297 -1.4530249720633261)"
0.977528,Heavy rain,100.517101,5,1,1.194,60000,2002/12/15,News,Indonesia,0,ID,2002/12/20,1,647.06,2002,12,15,2002,12,20,/Indonesia/DFO_2106_From_20021215_to_20021220/DFO_2106_From_20021215_to_20021220.tif,"(95.0058244484806 5.910914569506452,95.0058244484806 -5.946847180871232,104.67169690560665 -5.946847180871232,104.67169690560665 5.910914569506452,95.0058244484806 5.910914569506452)"
0.686073,Heavy Rain,122.861751,5,1,0.7,300,2015/2/5,News,Indonesia,0,ID,2015/2/9,0,675,2015,2,5,2015,2,9,/Indonesia/DFO_4222_From_20150205_to_20150209/DFO_4222_From_20150205_to_20150209.tif,"(118.75278898418014 4.552212702275676,118.75278898418014 -6.501556868815038,126.91398334040599 -6.501556868815038,126.91398334040599 4.552212702275676,118.75278898418014 4.552212702275676)"
-1.20654,Snowmelt and Heavy Rain,100.730585,5,2,0.7,5000,2009/3/24,News,Indonesia,0,ID,2009/4/20,0,675,2009,3,24,2009,4,20,/Indonesia/DFO_3465_From_20090324_to_20090420/DFO_3465_From_20090324_to_20090420.tif,"(95.0058244484806 5.910914569506452,95.0058244484806 -5.946847180871232,105.08941351272222 -5.946847180871232,105.08941351272222 5.910914569506452,95.0058244484806 5.910914569506452)"
